id_text,provenience,assumed_prov,Random
P100263,PuzriÅ¡-Dagan (mod. Drehem),,3
P100264,PuzriÅ¡-Dagan (mod. Drehem),,7
P100265,PuzriÅ¡-Dagan (mod. Drehem),,3
P100266,PuzriÅ¡-Dagan (mod. Drehem),,6
P100267,PuzriÅ¡-Dagan (mod. Drehem),,7
P100268,PuzriÅ¡-Dagan (mod. Drehem),,5
P100269,PuzriÅ¡-Dagan (mod. Drehem),,3
P100270,PuzriÅ¡-Dagan (mod. Drehem),,1
P100271,PuzriÅ¡-Dagan (mod. Drehem),,5
P100272,PuzriÅ¡-Dagan (mod. Drehem),,8
P100273,PuzriÅ¡-Dagan (mod. Drehem),,5
P100274,0,,5
P100275,0,,4
P100276,Umma (mod. Tell Jokha),,3
P100277,Umma (mod. Tell Jokha),,7
P100278,PuzriÅ¡-Dagan (mod. Drehem),,5
P100280,0,,3
P100281,PuzriÅ¡-Dagan (mod. Drehem),,4
P100282,Umma (mod. Tell Jokha),,1
P100283,Umma (mod. Tell Jokha),,5
P100284,PuzriÅ¡-Dagan (mod. Drehem),,4
P100285,Umma (mod. Tell Jokha),,5
P100286,Girsu (mod. Tello),,2
P100287,PuzriÅ¡-Dagan (mod. Drehem),,7
P100288,Umma (mod. Tell Jokha),,10
P100289,Umma (mod. Tell Jokha),,9
P100290,Umma (mod. Tell Jokha),,7
P100291,Umma (mod. Tell Jokha),,1
P100292,PuzriÅ¡-Dagan (mod. Drehem),,6
P100293,Umma (mod. Tell Jokha),,2
P100294,0,,8
P100295,0,,9
P100296,PuzriÅ¡-Dagan (mod. Drehem),,10
P100297,PuzriÅ¡-Dagan (mod. Drehem),,3
P100298,Umma (mod. Tell Jokha),,6
P100299,Umma (mod. Tell Jokha),,8
P100300,Girsu (mod. Tello),,10
P100301,0,,4
P100302,0,,4
P100303,0,,3
P143151,Umma (mod. Tell Jokha),,10
P143150,,Umma (mod. Tell Jokha) ,4
P100304,Girsu (mod. Tello),,3
P100305,Girsu (mod. Tello),,7
P100306,Girsu (mod. Tello),,10
P100307,Girsu (mod. Tello),,8
P100308,Girsu (mod. Tello),,9
P100309,Girsu (mod. Tello),,10
P100310,Girsu (mod. Tello),,3
P100312,Girsu (mod. Tello),,9
P100313,Girsu (mod. Tello),,9
P100314,Girsu (mod. Tello),,8
P100315,Girsu (mod. Tello),,2
P100316,Girsu (mod. Tello),,5
P100317,PuzriÅ¡-Dagan (mod. Drehem),,8
P100318,PuzriÅ¡-Dagan (mod. Drehem),,3
P100320,PuzriÅ¡-Dagan (mod. Drehem),,10
P100321,PuzriÅ¡-Dagan (mod. Drehem),,1
P100322,Umma (mod. Tell Jokha),,8
P100323,Umma (mod. Tell Jokha),,2
P100324,Umma (mod. Tell Jokha),,7
P100325,Umma (mod. Tell Jokha),,9
P100326,Umma (mod. Tell Jokha),,5
P100327,PuzriÅ¡-Dagan (mod. Drehem),,4
P100328,PuzriÅ¡-Dagan (mod. Drehem),,2
P100329,PuzriÅ¡-Dagan (mod. Drehem),,6
P100330,PuzriÅ¡-Dagan (mod. Drehem),,2
P100331,PuzriÅ¡-Dagan (mod. Drehem),,6
P100332,PuzriÅ¡-Dagan (mod. Drehem),,8
P100333,,PuzriÅ¡-Dagan (mod. Drehem) ,3
P100334,PuzriÅ¡-Dagan (mod. Drehem),,1
P100335,PuzriÅ¡-Dagan (mod. Drehem),,6
P100336,PuzriÅ¡-Dagan (mod. Drehem),,2
P100337,,PuzriÅ¡-Dagan (mod. Drehem) ,5
P100338,PuzriÅ¡-Dagan (mod. Drehem),,8
P100339,PuzriÅ¡-Dagan (mod. Drehem),,5
P100340,Umma (mod. Tell Jokha),,8
P100341,Umma (mod. Tell Jokha),,9
P100342,,PuzriÅ¡-Dagan (mod. Drehem) ,4
P100343,Umma (mod. Tell Jokha),,2
P100344,Umma (mod. Tell Jokha),,4
P100345,Umma (mod. Tell Jokha),,6
P100346,PuzriÅ¡-Dagan (mod. Drehem),,9
P100347,Umma (mod. Tell Jokha),,2
P100348,Umma (mod. Tell Jokha),,1
P100349,Umma (mod. Tell Jokha),,4
P100350,Umma (mod. Tell Jokha),,10
P100351,Umma (mod. Tell Jokha),,1
P100352,Umma (mod. Tell Jokha),,8
P100353,Umma (mod. Tell Jokha),,7
P100354,Umma (mod. Tell Jokha),,1
P100355,Umma (mod. Tell Jokha),,5
P100356,Umma (mod. Tell Jokha),,5
P100357,Umma (mod. Tell Jokha),,8
P100358,Umma (mod. Tell Jokha),,3
P100359,Umma (mod. Tell Jokha),,2
P100360,Umma (mod. Tell Jokha),,10
P100361,Umma (mod. Tell Jokha),,6
P100362,Umma (mod. Tell Jokha),,5
P100363,Umma (mod. Tell Jokha),,3
P100364,Umma (mod. Tell Jokha),,10
P100365,Umma (mod. Tell Jokha),,3
P100366,Umma (mod. Tell Jokha),,7
P100367,Umma (mod. Tell Jokha),,1
P100368,Umma (mod. Tell Jokha),,10
P100369,Umma (mod. Tell Jokha),,6
P100370,Umma (mod. Tell Jokha),,6
P100371,Umma (mod. Tell Jokha),,7
P100372,Umma (mod. Tell Jokha),,9
P100373,Umma (mod. Tell Jokha),,8
P100374,Umma (mod. Tell Jokha),,6
P100375,,PuzriÅ¡-Dagan (mod. Drehem) ,6
P100377,,PuzriÅ¡-Dagan (mod. Drehem) ,4
P100378,,PuzriÅ¡-Dagan (mod. Drehem) ,4
P100380,Umma (mod. Tell Jokha),,3
P100381,Umma (mod. Tell Jokha),,9
P100382,Umma (mod. Tell Jokha),,4
P100383,Umma (mod. Tell Jokha),,6
P100385,Umma (mod. Tell Jokha),,6
P100386,Umma (mod. Tell Jokha),,1
P100387,Umma (mod. Tell Jokha),,10
P100388,Umma (mod. Tell Jokha),,8
P100389,Umma (mod. Tell Jokha),,7
P100390,Umma (mod. Tell Jokha),,9
P100391,Umma (mod. Tell Jokha),,4
P100392,Umma (mod. Tell Jokha),,6
P100393,Umma (mod. Tell Jokha),,3
P100394,Umma (mod. Tell Jokha),,9
P100395,Umma (mod. Tell Jokha),,8
P100396,Umma (mod. Tell Jokha),,9
P100397,Umma (mod. Tell Jokha),,3
P100398,Umma (mod. Tell Jokha),,9
P100399,Umma (mod. Tell Jokha),,1
P100400,Umma (mod. Tell Jokha),,9
P100401,Umma (mod. Tell Jokha),,3
P100402,Umma (mod. Tell Jokha),,4
P100403,Umma (mod. Tell Jokha),,8
P100404,Umma (mod. Tell Jokha),,9
P100408,Umma (mod. Tell Jokha),,10
P100409,Umma (mod. Tell Jokha),,1
P100410,Umma (mod. Tell Jokha),,7
P100411,Umma (mod. Tell Jokha),,2
P100412,Umma (mod. Tell Jokha),,10
P100413,Umma (mod. Tell Jokha),,8
P100414,Umma (mod. Tell Jokha),,1
P100415,Umma (mod. Tell Jokha),,2
P100416,Umma (mod. Tell Jokha),,6
P100417,Umma (mod. Tell Jokha),,2
P100418,Umma (mod. Tell Jokha),,9
P100419,Umma (mod. Tell Jokha),,2
P100420,Umma (mod. Tell Jokha),,3
P100421,Umma (mod. Tell Jokha),,9
P100422,Umma (mod. Tell Jokha),,2
P100423,Umma (mod. Tell Jokha),,8
P100425,Umma (mod. Tell Jokha),,9
P100426,Umma (mod. Tell Jokha),,8
P100427,Umma (mod. Tell Jokha),,7
P100428,Umma (mod. Tell Jokha),,5
P100429,Umma (mod. Tell Jokha),,2
P100430,Umma (mod. Tell Jokha),,6
P100431,Umma (mod. Tell Jokha),,6
P100432,Umma (mod. Tell Jokha),,5
P100433,Umma (mod. Tell Jokha),,3
P100434,Umma (mod. Tell Jokha),,3
P100435,Umma (mod. Tell Jokha),,1
P100436,Umma (mod. Tell Jokha),,5
P100437,Umma (mod. Tell Jokha),,1
P100438,Umma (mod. Tell Jokha),,3
P100439,Umma (mod. Tell Jokha),,7
P100440,Umma (mod. Tell Jokha),,4
P100441,Umma (mod. Tell Jokha),,7
P100442,Umma (mod. Tell Jokha),,2
P100443,Umma (mod. Tell Jokha),,9
P100444,Umma (mod. Tell Jokha),,4
P100445,Umma (mod. Tell Jokha),,5
P100446,Umma (mod. Tell Jokha),,5
P100447,Umma (mod. Tell Jokha),,2
P100448,Umma (mod. Tell Jokha),,3
P100449,Umma (mod. Tell Jokha),,9
P100450,Umma (mod. Tell Jokha),,10
P100451,Umma (mod. Tell Jokha),,2
P100452,Umma (mod. Tell Jokha),,2
P100453,Umma (mod. Tell Jokha),,7
P100454,Umma (mod. Tell Jokha),,8
P100455,Umma (mod. Tell Jokha),,9
P100456,Umma (mod. Tell Jokha),,2
P100457,Umma (mod. Tell Jokha),,7
P100458,Umma (mod. Tell Jokha),,4
P100459,Umma (mod. Tell Jokha),,6
P100460,Umma (mod. Tell Jokha),,2
P100461,Umma (mod. Tell Jokha),,4
P100462,Umma (mod. Tell Jokha),,6
P100463,Umma (mod. Tell Jokha),,5
P100464,Umma (mod. Tell Jokha),,8
P100465,Umma (mod. Tell Jokha),,4
P100466,Umma (mod. Tell Jokha),,1
P100467,Umma (mod. Tell Jokha),,9
P100468,Umma (mod. Tell Jokha),,2
P100469,Umma (mod. Tell Jokha),,1
P100470,Umma (mod. Tell Jokha),,10
P100471,Umma (mod. Tell Jokha),,2
P100472,Umma (mod. Tell Jokha),,8
P100473,Umma (mod. Tell Jokha),,1
P100474,Umma (mod. Tell Jokha),,8
P100475,Umma (mod. Tell Jokha),,3
P100476,Umma (mod. Tell Jokha),,3
P100477,Umma (mod. Tell Jokha),,10
P100478,Umma (mod. Tell Jokha),,8
P100479,Umma (mod. Tell Jokha),,7
P100480,Umma (mod. Tell Jokha),,10
P100481,Umma (mod. Tell Jokha),,9
P100482,Umma (mod. Tell Jokha),,4
P100483,Umma (mod. Tell Jokha),,10
P100484,Umma (mod. Tell Jokha),,7
P100485,Umma (mod. Tell Jokha),,3
P100486,Umma (mod. Tell Jokha),,7
P100487,Umma (mod. Tell Jokha),,8
P100488,Umma (mod. Tell Jokha),,8
P100489,Umma (mod. Tell Jokha),,9
P100490,Umma (mod. Tell Jokha),,3
P100491,Umma (mod. Tell Jokha),,3
P100492,Umma (mod. Tell Jokha),,10
P100493,Umma (mod. Tell Jokha),,7
P100494,Umma (mod. Tell Jokha),,10
P100495,Umma (mod. Tell Jokha),,10
P100496,0,,4
P100497,Umma (mod. Tell Jokha),,6
P100498,Umma (mod. Tell Jokha),,8
P100499,Umma (mod. Tell Jokha),,9
P100500,Umma (mod. Tell Jokha),,7
P100501,,PuzriÅ¡-Dagan (mod. Drehem) ,1
P100502,Umma (mod. Tell Jokha),,9
P100503,Umma (mod. Tell Jokha),,2
P100504,Umma (mod. Tell Jokha),,10
P100505,Umma (mod. Tell Jokha),,10
P100506,Umma (mod. Tell Jokha),,3
P100507,Umma (mod. Tell Jokha),,1
P100508,Umma (mod. Tell Jokha),,7
P100509,Umma (mod. Tell Jokha),,8
P100510,Umma (mod. Tell Jokha),,6
P100511,Umma (mod. Tell Jokha),,9
P100512,Umma (mod. Tell Jokha),,3
P100513,Umma (mod. Tell Jokha),,8
P100514,0,,7
P100515,Umma (mod. Tell Jokha),,7
P100516,Umma (mod. Tell Jokha),,10
P100517,Umma (mod. Tell Jokha),,1
P100518,Umma (mod. Tell Jokha),,5
P100519,Umma (mod. Tell Jokha),,2
P100520,Umma (mod. Tell Jokha),,3
P100521,0,,2
P100522,Umma (mod. Tell Jokha),,8
P100523,Umma (mod. Tell Jokha),,8
P100524,Umma (mod. Tell Jokha),,4
P100525,Umma (mod. Tell Jokha),,5
P100526,Umma (mod. Tell Jokha),,6
P100527,Umma (mod. Tell Jokha),,3
P100528,Umma (mod. Tell Jokha),,9
P100529,Umma (mod. Tell Jokha),,9
P100530,Umma (mod. Tell Jokha),,5
P100531,Umma (mod. Tell Jokha),,8
P100532,Umma (mod. Tell Jokha),,10
P100533,0,,5
P100534,Umma (mod. Tell Jokha),,9
P100535,Umma (mod. Tell Jokha),,8
P100536,Umma (mod. Tell Jokha),,5
P100537,0,,10
P100538,Umma (mod. Tell Jokha),,3
P100539,Umma (mod. Tell Jokha),,5
P100540,Umma (mod. Tell Jokha),,6
P100541,Umma (mod. Tell Jokha),,2
P100542,Umma (mod. Tell Jokha),,1
P100543,Umma (mod. Tell Jokha),,6
P100544,Umma (mod. Tell Jokha),,9
P100545,Umma (mod. Tell Jokha),,7
P100546,Umma (mod. Tell Jokha),,4
P100547,Umma (mod. Tell Jokha),,7
P100548,Umma (mod. Tell Jokha),,3
P100549,Umma (mod. Tell Jokha),,1
P100550,Umma (mod. Tell Jokha),,6
P100551,,Umma (mod. Tell Jokha) ,9
P100552,0,,1
P100553,Umma (mod. Tell Jokha),,7
P100554,Umma (mod. Tell Jokha),,8
P100555,Umma (mod. Tell Jokha),,8
P100556,Umma (mod. Tell Jokha),,6
P100557,Umma (mod. Tell Jokha),,4
P100558,Umma (mod. Tell Jokha),,7
P100559,Umma (mod. Tell Jokha),,1
P100560,Umma (mod. Tell Jokha),,6
P100561,Umma (mod. Tell Jokha),,4
P100562,Umma (mod. Tell Jokha),,3
P100563,Umma (mod. Tell Jokha),,6
P100564,,PuzriÅ¡-Dagan (mod. Drehem) ,9
P100565,Umma (mod. Tell Jokha),,6
P100566,Umma (mod. Tell Jokha),,10
P100567,Umma (mod. Tell Jokha),,6
P100568,Umma (mod. Tell Jokha),,6
P100569,Umma (mod. Tell Jokha),,5
P100570,Umma (mod. Tell Jokha),,10
P100571,Umma (mod. Tell Jokha),,7
P100572,Umma (mod. Tell Jokha),,6
P100573,Umma (mod. Tell Jokha),,8
P100574,Umma (mod. Tell Jokha),,6
P100575,0,,2
P100576,Umma (mod. Tell Jokha),,7
P100577,Umma (mod. Tell Jokha),,5
P100578,Umma (mod. Tell Jokha),,2
P100579,Umma (mod. Tell Jokha),,7
P100580,Umma (mod. Tell Jokha),,4
P100581,Umma (mod. Tell Jokha),,1
P100582,Umma (mod. Tell Jokha),,8
P100583,Umma (mod. Tell Jokha),,10
P100584,,PuzriÅ¡-Dagan (mod. Drehem) ,2
P100585,Umma (mod. Tell Jokha),,2
P100586,Umma (mod. Tell Jokha),,1
P100587,Umma (mod. Tell Jokha),,4
P100588,Umma (mod. Tell Jokha),,6
P100589,Umma (mod. Tell Jokha),,6
P100590,Umma (mod. Tell Jokha),,4
P100591,,PuzriÅ¡-Dagan (mod. Drehem) ,2
P100592,Umma (mod. Tell Jokha),,9
P100593,Umma (mod. Tell Jokha),,3
P100594,Umma (mod. Tell Jokha),,1
P100595,Umma (mod. Tell Jokha),,5
P100596,Umma (mod. Tell Jokha),,4
P100597,Umma (mod. Tell Jokha),,7
P100598,Umma (mod. Tell Jokha),,2
P100599,Umma (mod. Tell Jokha),,10
P100600,Umma (mod. Tell Jokha),,4
P100601,Umma (mod. Tell Jokha),,3
P100602,Umma (mod. Tell Jokha),,4
P100603,Umma (mod. Tell Jokha),,4
P100604,0,,6
P100605,0,,2
P100606,0,,2
P100607,Umma (mod. Tell Jokha),,3
P100608,,PuzriÅ¡-Dagan (mod. Drehem) ,4
P100609,Umma (mod. Tell Jokha),,4
P100610,Umma (mod. Tell Jokha),,1
P100611,Umma (mod. Tell Jokha),,9
P100612,Umma (mod. Tell Jokha),,6
P100613,Umma (mod. Tell Jokha),,2
P100614,Umma (mod. Tell Jokha),,7
P100615,,PuzriÅ¡-Dagan (mod. Drehem) ,3
P100616,,PuzriÅ¡-Dagan (mod. Drehem) ,7
P100617,,PuzriÅ¡-Dagan (mod. Drehem) ,3
P100618,,PuzriÅ¡-Dagan (mod. Drehem) ,3
P100619,Girsu (mod. Tello),,6
P100620,Umma (mod. Tell Jokha),,1
P100621,0,,7
P100622,Umma (mod. Tell Jokha),,4
P100623,,PuzriÅ¡-Dagan (mod. Drehem) ,3
P100624,Umma (mod. Tell Jokha),,3
P100625,,PuzriÅ¡-Dagan (mod. Drehem) ,4
P100626,Umma (mod. Tell Jokha),,3
P100627,,PuzriÅ¡-Dagan (mod. Drehem) ,5
P100628,,PuzriÅ¡-Dagan (mod. Drehem) ,4
P100629,Umma (mod. Tell Jokha),,10
P100630,Umma (mod. Tell Jokha),,10
P100631,,Umma (mod. Tell Jokha) ,1
P100632,Umma (mod. Tell Jokha),,3
P100633,0,,1
P100634,Umma (mod. Tell Jokha),,7
P100635,0,,5
P100636,Umma (mod. Tell Jokha),,8
P100637,Umma (mod. Tell Jokha),,1
P100638,Umma (mod. Tell Jokha),,7
P100639,Umma (mod. Tell Jokha),,7
P100640,Umma (mod. Tell Jokha),,1
P100641,,PuzriÅ¡-Dagan (mod. Drehem) ,4
P100642,Umma (mod. Tell Jokha),,1
P100643,,PuzriÅ¡-Dagan (mod. Drehem) ,7
P100644,,PuzriÅ¡-Dagan (mod. Drehem) ,6
P100645,,PuzriÅ¡-Dagan (mod. Drehem) ,8
P100646,Umma (mod. Tell Jokha),,8
P100647,,Umma (mod. Tell Jokha) ,7
